event_name,fight_date,fighter1,fighter2,snorkel_tier,snorkel_confidence,f1_career_fights,f1_career_win_rate,f1_career_finish_rate,f1_career_ko_rate,f1_career_sub_rate,f1_career_sig_str_per_round,f1_career_sig_str_accuracy,f1_career_td_per_round,f1_career_td_accuracy,f1_career_sub_att_per_round,f1_career_kd_per_round,f1_career_ctrl_per_round,f1_career_avg_rounds,f1_recent_win_streak,f1_recent_loss_streak,f2_career_fights,f2_career_win_rate,f2_career_finish_rate,f2_career_ko_rate,f2_career_sub_rate,f2_career_sig_str_per_round,f2_career_sig_str_accuracy,f2_career_td_per_round,f2_career_td_accuracy,f2_career_sub_att_per_round,f2_career_kd_per_round,f2_career_ctrl_per_round,f2_career_avg_rounds,f2_recent_win_streak,f2_recent_loss_streak,f1_height,f1_reach,f2_height,f2_reach,combined_finish_rate,combined_ko_rate,combined_sig_str_per_round,combined_kd_per_round,experience_diff,reach_diff,height_diff,weight_class,wc_baseline_finish_rate,is_title_fight,scheduled_rounds,year
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Edson Barboza,Jalin Turner,4,0.8,31,0.0,0.0,0.0,0.0,18.761904761904763,0.4463324837156613,0.13095238095238096,0.5,0.023809523809523808,0.19047619047619047,17.523809523809526,2.7096774193548385,0,31,13,0.0,0.0,0.0,0.0,20.52173913043478,0.47628657921291623,0.17391304347826086,0.5,0.30434782608695654,0.30434782608695654,33.65217391304348,1.7692307692307692,0,13,71.0,75.0,75.0,77.0,0.0,0.0,39.28364389233954,0.494824016563147,18,-2.0,-4.0,Lightweight Bout,0.4,False,3,2025
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Iwo Baraniewski,Ibo Aslan,4,0.8,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,18.125,0.44753086419753085,0.0,0.0,0.0,0.125,0.25,2.0,0,4,72.0,73.0,75.0,77.0,0.0,0.0,18.125,0.125,4,-4.0,-3.0,Light Heavyweight Bout,0.4,False,3,2025
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Mansur Abdul-Malik,Antonio Trocoli,1,0.7,3,0.0,0.0,0.0,0.0,13.833333333333334,0.46629213483146065,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,21.5,2.0,0,3,2,0.0,0.0,0.0,0.0,4.5,0.46153846153846156,0.0,0.0,0.0,0.0,73.75,2.0,0,2,74.0,80.0,78.0,79.0,0.0,0.0,18.333333333333336,0.16666666666666666,1,1.0,-4.0,Middleweight Bout,0.4,False,3,2025
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Muhammad Naimov,Mairon Santos,3,0.6,6,0.0,0.0,0.0,0.0,10.466666666666667,0.4088541666666667,0.6,0.42857142857142855,0.06666666666666667,0.06666666666666667,71.93333333333334,2.5,0,6,3,0.0,0.0,0.0,0.0,16.125,0.46236559139784944,0.0,0.0,0.0,0.125,15.125,2.6666666666666665,0,3,69.0,70.0,67.0,72.0,0.0,0.0,26.59166666666667,0.19166666666666665,3,-2.0,2.0,Featherweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Arman Tsarukyan,Dan Hooker,4,0.9,11,0.0,0.0,0.0,0.0,17.5,0.48928238583411,1.0,0.37037037037037035,0.0,0.1,112.56666666666666,2.727272727272727,0,11,22,0.0,0.0,0.0,0.0,22.176470588235293,0.4864516129032258,0.21568627450980393,0.34375,0.09803921568627451,0.17647058823529413,49.450980392156865,2.3181818181818183,0,22,67.0,72.0,72.0,75.0,0.0,0.0,39.67647058823529,0.27647058823529413,11,-3.0,-5.0,Lightweight Bout,0.4,False,5,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Belal Muhammad,Ian Machado Garry,2,0.5,20,0.0,0.0,0.0,0.0,21.453125,0.43476884103863206,0.71875,0.3865546218487395,0.046875,0.0,68.046875,3.2,0,20,10,0.0,0.0,0.0,0.0,23.433333333333334,0.5441176470588235,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,36.36666666666667,3.0,0,10,71.0,72.0,75.0,74.0,0.0,0.0,44.88645833333334,0.13333333333333333,10,-2.0,-4.0,Welterweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Volkan Oezdemir,Alonzo Menifield,3,0.6,15,0.0,0.0,0.0,0.0,21.705882352941178,0.48616600790513836,0.14705882352941177,0.29411764705882354,0.029411764705882353,0.17647058823529413,29.558823529411764,2.2666666666666666,0,15,16,0.0,0.0,0.0,0.0,16.454545454545453,0.5360315893385982,0.15151515151515152,0.35714285714285715,0.06060606060606061,0.15151515151515152,60.24242424242424,2.0625,0,16,74.0,75.0,72.0,76.0,0.0,0.0,38.16042780748663,0.32798573975044565,1,-1.0,2.0,Light Heavyweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Jack Hermansson,Myktybek Orolbai,4,0.75,18,0.0,0.0,0.0,0.0,22.866666666666667,0.45171202809482003,0.4444444444444444,0.29850746268656714,0.1111111111111111,0.0,46.733333333333334,2.5,0,18,4,0.0,0.0,0.0,0.0,15.11111111111111,0.48398576512455516,1.8888888888888888,0.4594594594594595,0.2222222222222222,0.1111111111111111,135.88888888888889,2.25,0,4,73.0,77.0,70.0,74.0,0.0,0.0,37.977777777777774,0.1111111111111111,14,3.0,3.0,Welterweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Waldo Cortes Acosta,Shamil Gaziev,4,0.8,10,0.0,0.0,0.0,0.0,26.04,0.48293768545994065,0.12,0.5,0.04,0.12,31.76,2.5,0,10,4,0.0,0.0,0.0,0.0,11.6,0.47540983606557374,0.3,0.3,0.0,0.1,112.9,2.5,0,4,,,76.0,78.0,0.0,0.0,37.64,0.22,6,-8.0,-6.0,Heavyweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Tagir Ulanbekov,Kyoji Horiguchi,4,0.9,7,0.0,0.0,0.0,0.0,16.22222222222222,0.494077834179357,0.9444444444444444,0.38636363636363635,0.5,0.05555555555555555,129.66666666666666,2.5714285714285716,0,7,8,0.0,0.0,0.0,0.0,17.652173913043477,0.45111111111111113,0.6521739130434783,0.4411764705882353,0.0,0.17391304347826086,58.869565217391305,2.875,0,8,67.0,70.0,65.0,66.0,0.0,0.0,33.8743961352657,0.22946859903381642,1,4.0,2.0,Flyweight Bout,0.4,False,3,2025
